# IBM拡張
for i in range(0, 500):
    c_s = 0xfa40 + i
    try:
        print("cp932", hex(c_s)[2:], hex(ord(bytes.fromhex(hex(c_s)[2:]).decode('cp932')))[2:],"chr", bytes.fromhex(hex(c_s)[2:]).decode('cp932'))
    except UnicodeDecodeError as e:
        print("cp932", hex(c_s)[2:], "")
----
cp932 fa40 2170 chr ⅰ
cp932 fa41 2171 chr ⅱ
cp932 fa42 2172 chr ⅲ
cp932 fa43 2173 chr ⅳ
cp932 fa44 2174 chr ⅴ
cp932 fa45 2175 chr ⅵ
cp932 fa46 2176 chr ⅶ
cp932 fa47 2177 chr ⅷ
cp932 fa48 2178 chr ⅸ
cp932 fa49 2179 chr ⅹ
cp932 fa4a 2160 chr Ⅰ
cp932 fa4b 2161 chr Ⅱ
cp932 fa4c 2162 chr Ⅲ
cp932 fa4d 2163 chr Ⅳ
cp932 fa4e 2164 chr Ⅴ
cp932 fa4f 2165 chr Ⅵ
cp932 fa50 2166 chr Ⅶ
cp932 fa51 2167 chr Ⅷ
cp932 fa52 2168 chr Ⅸ
cp932 fa53 2169 chr Ⅹ
cp932 fa54 ffe2 chr ￢
cp932 fa55 ffe4 chr ￤
cp932 fa56 ff07 chr ＇
cp932 fa57 ff02 chr ＂
cp932 fa58 3231 chr ㈱
cp932 fa59 2116 chr №
cp932 fa5a 2121 chr ℡
cp932 fa5b 2235 chr ∵
cp932 fa5c 7e8a chr 纊
cp932 fa5d 891c chr 褜
cp932 fa5e 9348 chr 鍈
cp932 fa5f 9288 chr 銈
cp932 fa60 84dc chr 蓜
cp932 fa61 4fc9 chr 俉
cp932 fa62 70bb chr 炻
cp932 fa63 6631 chr 昱
cp932 fa64 68c8 chr 棈
cp932 fa65 92f9 chr 鋹
cp932 fa66 66fb chr 曻
cp932 fa67 5f45 chr 彅
cp932 fa68 4e28 chr 丨
cp932 fa69 4ee1 chr 仡
cp932 fa6a 4efc chr 仼
cp932 fa6b 4f00 chr 伀
cp932 fa6c 4f03 chr 伃
cp932 fa6d 4f39 chr 伹
cp932 fa6e 4f56 chr 佖
cp932 fa6f 4f92 chr 侒
cp932 fa70 4f8a chr 侊
cp932 fa71 4f9a chr 侚
cp932 fa72 4f94 chr 侔
cp932 fa73 4fcd chr 俍
cp932 fa74 5040 chr 偀
cp932 fa75 5022 chr 倢
cp932 fa76 4fff chr 俿
cp932 fa77 501e chr 倞
cp932 fa78 5046 chr 偆
cp932 fa79 5070 chr 偰
cp932 fa7a 5042 chr 偂
cp932 fa7b 5094 chr 傔
cp932 fa7c 50f4 chr 僴
cp932 fa7d 50d8 chr 僘
cp932 fa7e 514a chr 兊
cp932 fa7f
cp932 fa80 5164 chr 兤
cp932 fa81 519d chr 冝
cp932 fa82 51be chr 冾
cp932 fa83 51ec chr 凬
cp932 fa84 5215 chr 刕
cp932 fa85 529c chr 劜
cp932 fa86 52a6 chr 劦
cp932 fa87 52c0 chr 勀
cp932 fa88 52db chr 勛
cp932 fa89 5300 chr 匀
cp932 fa8a 5307 chr 匇
cp932 fa8b 5324 chr 匤
cp932 fa8c 5372 chr 卲
cp932 fa8d 5393 chr 厓
cp932 fa8e 53b2 chr 厲
