# NEC選定IBM拡張
for i in range(0, 450):
    c_s = 0xed40 + i
    try:
        print("cp932", hex(c_s)[2:], hex(ord(bytes.fromhex(hex(c_s)[2:]).decode('cp932')))[2:],"chr", bytes.fromhex(hex(c_s)[2:]).decode('cp932'))
    except UnicodeDecodeError as e:
        print("cp932", hex(c_s)[2:], "")
---
cp932 ed40 7e8a chr 纊
cp932 ed41 891c chr 褜
cp932 ed42 9348 chr 鍈
cp932 ed43 9288 chr 銈
cp932 ed44 84dc chr 蓜
cp932 ed45 4fc9 chr 俉
cp932 ed46 70bb chr 炻
cp932 ed47 6631 chr 昱
cp932 ed48 68c8 chr 棈
cp932 ed49 92f9 chr 鋹
cp932 ed4a 66fb chr 曻
cp932 ed4b 5f45 chr 彅
cp932 ed4c 4e28 chr 丨
cp932 ed4d 4ee1 chr 仡
cp932 ed4e 4efc chr 仼
cp932 ed4f 4f00 chr 伀
cp932 ed50 4f03 chr 伃
cp932 ed51 4f39 chr 伹
cp932 ed52 4f56 chr 佖
cp932 ed53 4f92 chr 侒
cp932 ed54 4f8a chr 侊
cp932 ed55 4f9a chr 侚
cp932 ed56 4f94 chr 侔
cp932 ed57 4fcd chr 俍
cp932 ed58 5040 chr 偀
cp932 ed59 5022 chr 倢
cp932 ed5a 4fff chr 俿
cp932 ed5b 501e chr 倞
cp932 ed5c 5046 chr 偆
cp932 ed5d 5070 chr 偰
cp932 ed5e 5042 chr 偂
cp932 ed5f 5094 chr 傔
cp932 ed60 50f4 chr 僴
cp932 ed61 50d8 chr 僘
cp932 ed62 514a chr 兊
cp932 ed63 5164 chr 兤
cp932 ed64 519d chr 冝
cp932 ed65 51be chr 冾
cp932 ed66 51ec chr 凬
cp932 ed67 5215 chr 刕
cp932 ed68 529c chr 劜
cp932 ed69 52a6 chr 劦
cp932 ed6a 52c0 chr 勀
cp932 ed6b 52db chr 勛
cp932 ed6c 5300 chr 匀
cp932 ed6d 5307 chr 匇
cp932 ed6e 5324 chr 匤
cp932 ed6f 5372 chr 卲
cp932 ed70 5393 chr 厓
cp932 ed71 53b2 chr 厲
cp932 ed72 53dd chr 叝
cp932 ed73 fa0e chr 﨎
cp932 ed74 549c chr 咜
cp932 ed75 548a chr 咊
cp932 ed76 54a9 chr 咩
cp932 ed77 54ff chr 哿
cp932 ed78 5586 chr 喆
cp932 ed79 5759 chr 坙
cp932 ed7a 5765 chr 坥
cp932 ed7b 57ac chr 垬
cp932 ed7c 57c8 chr 埈
cp932 ed7d 57c7 chr 埇
cp932 ed7e fa0f chr 﨏
cp932 ed7f
cp932 ed80 fa10 chr 塚
cp932 ed81 589e chr 增
cp932 ed82 58b2 chr 墲
cp932 ed83 590b chr 夋
cp932 ed84 5953 chr 奓
cp932 ed85 595b chr 奛
cp932 ed86 595d chr 奝
cp932 ed87 5963 chr 奣
cp932 ed88 59a4 chr 妤
cp932 ed89 59ba chr 妺
cp932 ed8a 5b56 chr 孖
cp932 ed8b 5bc0 chr 寀
cp932 ed8c 752f chr 甯
cp932 ed8d 5bd8 chr 寘
cp932 ed8e 5bec chr 寬
cp932 ed8f 5c1e chr 尞
cp932 ed90 5ca6 chr 岦
cp932 ed91 5cba chr 岺
cp932 ed92 5cf5 chr 峵
cp932 ed93 5d27 chr 崧
cp932 ed94 5d53 chr 嵓
cp932 ed95 fa11 chr 﨑
cp932 ed96 5d42 chr 嵂
cp932 ed97 5d6d chr 嵭
cp932 ed98 5db8 chr 嶸
cp932 ed99 5db9 chr 嶹
cp932 ed9a 5dd0 chr 巐
cp932 ed9b 5f21 chr 弡
cp932 ed9c 5f34 chr 弴
cp932 ed9d 5f67 chr 彧
cp932 ed9e 5fb7 chr 德
cp932 ed9f 5fde chr 忞
cp932 eda0 605d chr 恝
cp932 eda1 6085 chr 悅
cp932 eda2 608a chr 悊
cp932 eda3 60de chr 惞
cp932 eda4 60d5 chr 惕
cp932 eda5 6120 chr 愠
cp932 eda6 60f2 chr 惲
cp932 eda7 6111 chr 愑
cp932 eda8 6137 chr 愷
cp932 eda9 6130 chr 愰
cp932 edaa 6198 chr 憘
cp932 edab 6213 chr 戓
cp932 edac 62a6 chr 抦
cp932 edad 63f5 chr 揵
cp932 edae 6460 chr 摠
cp932 edaf 649d chr 撝
cp932 edb0 64ce chr 擎
cp932 edb1 654e chr 敎
cp932 edb2 6600 chr 昀
cp932 edb3 6615 chr 昕
cp932 edb4 663b chr 昻
cp932 edb5 6609 chr 昉
cp932 edb6 662e chr 昮
cp932 edb7 661e chr 昞
cp932 edb8 6624 chr 昤
cp932 edb9 6665 chr 晥
cp932 edba 6657 chr 晗
cp932 edbb 6659 chr 晙
cp932 edbc fa12 chr 晴
cp932 edbd 6673 chr 晳
cp932 edbe 6699 chr 暙
cp932 edbf 66a0 chr 暠
cp932 edc0 66b2 chr 暲
cp932 edc1 66bf chr 暿
cp932 edc2 66fa chr 曺
cp932 edc3 670e chr 朎
cp932 edc4 f929 chr 朗
cp932 edc5 6766 chr 杦
cp932 edc6 67bb chr 枻
cp932 edc7 6852 chr 桒
cp932 edc8 67c0 chr 柀
cp932 edc9 6801 chr 栁
cp932 edca 6844 chr 桄
cp932 edcb 68cf chr 棏
cp932 edcc fa13 chr 﨓
cp932 edcd 6968 chr 楨
cp932 edce fa14 chr 﨔
cp932 edcf 6998 chr 榘
cp932 edd0 69e2 chr 槢
cp932 edd1 6a30 chr 樰
cp932 edd2 6a6b chr 橫
cp932 edd3 6a46 chr 橆
cp932 edd4 6a73 chr 橳
cp932 edd5 6a7e chr 橾
cp932 edd6 6ae2 chr 櫢
cp932 edd7 6ae4 chr 櫤
cp932 edd8 6bd6 chr 毖
cp932 edd9 6c3f chr 氿
cp932 edda 6c5c chr 汜
cp932 eddb 6c86 chr 沆
cp932 eddc 6c6f chr 汯
cp932 eddd 6cda chr 泚
cp932 edde 6d04 chr 洄
cp932 eddf 6d87 chr 涇
cp932 ede0 6d6f chr 浯
cp932 ede1 6d96 chr 涖
cp932 ede2 6dac chr 涬
cp932 ede3 6dcf chr 淏
cp932 ede4 6df8 chr 淸
cp932 ede5 6df2 chr 淲
cp932 ede6 6dfc chr 淼
cp932 ede7 6e39 chr 渹
cp932 ede8 6e5c chr 湜
